    12.5000    9.095182E-03  9.197592E-03  5.198564E+01
    12.5500    8.105448E-03  8.922537E-03  5.226758E+01
    12.6000    6.517105E-03  8.614453E-03  5.254908E+01
    12.6500    4.513303E-03  8.276021E-03  5.283027E+01
    12.7000    2.305983E-03  7.910194E-03  5.311126E+01
    12.7500    1.121347E-04  7.520151E-03  5.339216E+01
    12.8000   -1.869120E-03  7.109273E-03  5.367312E+01
    12.8500   -3.476088E-03  6.681100E-03  5.395426E+01
    12.9000   -4.598682E-03  6.239297E-03  5.423577E+01
    12.9500   -5.185943E-03  5.787616E-03  5.451785E+01
    13.0000   -5.246454E-03  5.329860E-03  5.480073E+01
    13.0500   -4.861326E-03  4.888597E-03  5.508355E+01
    13.1000   -4.112987E-03  4.445932E-03  5.536734E+01
    13.1500   -3.127990E-03  4.005430E-03  5.565250E+01
    13.2000   -2.042757E-03  3.570627E-03  5.593960E+01
    13.2500   -9.870681E-04  3.145019E-03  5.622942E+01
    13.3000   -6.987092E-05  2.732052E-03  5.652309E+01
    13.3500    6.310693E-04  2.335144E-03  5.682232E+01
    13.4000    1.074727E-03  1.957743E-03  5.712979E+01
    13.4500    1.257297E-03  1.603469E-03  5.744993E+01
    13.5000    1.207987E-03  1.276451E-03  5.779046E+01
    13.5500    9.810624E-04  9.821094E-04  5.816564E+01
    13.6000    6.455182E-04  7.290699E-04  5.860291E+01
    13.6500    2.739381E-04  5.335029E-04  5.915104E+01
    13.7000   -6.789256E-05  4.234323E-04  5.985129E+01
    13.7500   -3.292874E-04  4.169521E-04  6.060066E+01
    13.8000   -4.799144E-04  4.803376E-04  6.121908E+01
    13.8500   -5.115430E-04  5.635510E-04  6.169405E+01
    13.9000   -4.363413E-04  6.388713E-04  6.208001E+01
    13.9500   -2.822648E-04  6.947550E-04  6.241347E+01
    14.0000   -8.645825E-05  7.267622E-04  6.271261E+01
    14.0500    1.108564E-04  7.318594E-04  6.298391E+01
    14.1000    2.764501E-04  7.122465E-04  6.323046E+01
    14.1500    3.876861E-04  6.702736E-04  6.344862E+01
    14.2000    4.365246E-04  6.103642E-04  6.362874E+01
    14.2500    4.302590E-04  5.404713E-04  6.375265E+01
    14.3000    3.894816E-04  4.751720E-04  6.379268E+01
    14.3500    3.436864E-04  4.393766E-04  6.373006E+01
    14.4000    3.252733E-04  4.623657E-04  6.361216E+01
    14.4500    3.629503E-04  5.541411E-04  6.354601E+01
    14.5000    4.756155E-04  7.000743E-04  6.357877E+01
    14.5500    6.677189E-04  8.815595E-04  6.369122E+01
    14.6000    9.268767E-04  1.085691E-03  6.385494E+01
    14.6500    1.224172E-03  1.304213E-03  6.405049E+01
    14.7000    1.517178E-03  1.531406E-03  6.426623E+01
    14.7500    1.755321E-03  1.762874E-03  6.449525E+01
    14.8000    1.886877E-03  1.994955E-03  6.473332E+01
    14.8500    1.866618E-03  2.224440E-03  6.497774E+01
    14.9000    1.663024E-03  2.448444E-03  6.522675E+01
    14.9500    1.264040E-03  2.664337E-03  6.547913E+01
    15.0000    6.805003E-04  2.869725E-03  6.573403E+01
    15.0500   -5.827466E-05  3.068837E-03  6.599244E+01
    15.1000   -8.961326E-04  3.253498E-03  6.625249E+01
    15.1500   -1.760409E-03  3.421871E-03  6.651382E+01
    15.2000   -2.569358E-03  3.572350E-03  6.677615E+01
    15.2500   -3.241268E-03  3.703568E-03  6.703924E+01
    15.3000   -3.703883E-03  3.814402E-03  6.730293E+01
    15.3500   -3.902955E-03  3.903973E-03  6.756708E+01
    15.4000   -3.808843E-03  3.971652E-03  6.783156E+01
    15.4500   -3.420343E-03  4.017057E-03  6.809628E+01
    15.5000   -2.765278E-03  4.040049E-03  6.836117E+01
    15.5500   -1.897761E-03  4.040730E-03  6.862614E+01
    15.6000   -8.925009E-04  4.019434E-03  6.889113E+01
    15.6500    1.631652E-04  3.976716E-03  6.915608E+01
    15.7000    1.178529E-03  3.913343E-03  6.942094E+01
    15.7500    2.068959E-03  3.830276E-03  6.968566E+01
    15.8000    2.764424E-03  3.728660E-03  6.995019E+01
    15.8500    3.216148E-03  3.609800E-03  7.021447E+01
    15.9000    3.400683E-03  3.475149E-03  7.047845E+01
    15.9500    3.321025E-03  3.326281E-03  7.074206E+01
    16.0000    3.004798E-03  3.164879E-03  7.100525E+01
    16.0500    2.502571E-03  3.004147E-03  7.127205E+01
    16.1000    1.865408E-03  2.833895E-03  7.153814E+01
    16.1500    1.162936E-03  2.655713E-03  7.180337E+01
    16.2000    4.644546E-04  2.471233E-03  7.206756E+01
    16.2500   -1.684117E-04  2.282113E-03  7.233049E+01
    16.3000   -6.876207E-04  2.090019E-03  7.259188E+01
    16.3500   -1.062594E-03  1.896612E-03  7.285133E+01
    16.4000   -1.281744E-03  1.703538E-03  7.310833E+01
    16.4500   -1.351647E-03  1.512417E-03  7.336216E+01
    16.5000   -1.294148E-03  1.324838E-03  7.361176E+01
    16.5500   -1.141917E-03  1.142370E-03  7.385559E+01
    16.6000   -9.331569E-04  9.665810E-04  7.409117E+01
    16.6500   -7.061829E-04  7.991060E-04  7.431448E+01
    16.7000   -4.945863E-04  6.417931E-04  7.451839E+01
    16.7500   -3.235443E-04  4.970698E-04  7.468945E+01
    16.8000   -2.076505E-04  3.689023E-04  7.480035E+01
    16.8500   -1.504052E-04  2.653876E-04  7.479568E+01
    16.9000   -1.452759E-04  2.036393E-04  7.460389E+01
    16.9500   -1.780310E-04  2.018661E-04  7.431829E+01
    17.0000   -2.299047E-04  2.455133E-04  7.418593E+01
    17.0500   -2.805029E-04  3.046129E-04  7.422797E+01
    17.1000   -3.148671E-04  3.651096E-04  7.435825E+01
    17.1500   -3.200696E-04  4.212539E-04  7.453522E+01
    17.2000   -2.886688E-04  4.706684E-04  7.473797E+01
    17.2500   -2.194047E-04  5.123616E-04  7.495570E+01
    17.3000   -1.169407E-04  5.459902E-04  7.518237E+01
    17.3500    9.217521E-06  5.715614E-04  7.541435E+01
    17.4000    1.463970E-04  5.892986E-04  7.564928E+01
    17.4500    2.807292E-04  5.995731E-04  7.588549E+01
    17.5000    3.991110E-04  6.028664E-04  7.612174E+01
    17.5500    4.908776E-04  5.997458E-04  7.635698E+01
    17.6000    5.489793E-04  5.908479E-04  7.659030E+01
    17.6500    5.705440E-04  5.768661E-04  7.682083E+01
    17.7000    5.568123E-04  5.585409E-04  7.704772E+01
    17.7500    5.125209E-04  5.366517E-04  7.727004E+01
    17.8000    4.448853E-04  5.120097E-04  7.748684E+01
    17.8500    3.623732E-04  4.854520E-04  7.769708E+01
    17.9000    2.734717E-04  4.578352E-04  7.789967E+01
    17.9500    1.856277E-04  4.300278E-04  7.809348E+01
    18.0000    1.044943E-04  4.028984E-04  7.827746E+01
    18.0500    3.408640E-05  3.884582E-04  7.845196E+01
    18.1000   -3.006059E-05  3.766014E-04  7.861972E+01
    18.1500   -8.831867E-05  3.676219E-04  7.878243E+01
    18.2000   -1.415789E-04  3.616023E-04  7.894211E+01
    18.2500   -1.907010E-04  3.584134E-04  7.910086E+01
    18.3000   -2.360860E-04  3.577457E-04  7.926054E+01
    18.3500   -2.774428E-04  3.591664E-04  7.942253E+01
    18.4000   -3.137719E-04  3.621892E-04  7.958760E+01
    18.4500   -3.435431E-04  3.663423E-04  7.975595E+01
    18.5000   -3.650033E-04  3.712249E-04  7.992727E+01
    18.5500   -3.765298E-04  3.765475E-04  8.010092E+01
    18.6000   -3.769388E-04  3.821570E-04  8.027606E+01
    18.6500   -3.656768E-04  3.880487E-04  8.045183E+01
    18.7000   -3.428526E-04  3.943666E-04  8.062747E+01
    18.7500   -3.091100E-04  4.013934E-04  8.080242E+01
    18.8000   -2.653795E-04  4.095286E-04  8.097644E+01
    18.8500   -2.125823E-04  4.192558E-04  8.114965E+01
    18.9000   -1.513733E-04  4.310978E-04  8.132263E+01
    18.9500   -8.201088E-05  4.455640E-04  8.149629E+01
